Time (BJD_TBD - 2450000), L_b/L_star (ppm)
7.275916591659165533e+03,1.792245800034084482e+02
7.275919591959195714e+03,1.834795601240197129e+02
7.275922592259225894e+03,1.877700091880081175e+02
7.275925592559256074e+03,1.920952592301983373e+02
7.275928592859286255e+03,1.964546368673807422e+02
7.275931593159315526e+03,2.008474634017855749e+02
7.275934593459345706e+03,2.052730549321146896e+02
7.275937593759375886e+03,2.097307224520063471e+02
7.275940594059406067e+03,2.142197719626195180e+02
7.275943594359436247e+03,2.187395045793645636e+02
7.275946594659465518e+03,2.232892166393251898e+02
7.275949594959495698e+03,2.278681998163337994e+02
7.275952595259525879e+03,2.324757412229501483e+02
7.275955595559556059e+03,2.371111235270016948e+02
7.275958595859586239e+03,2.417736250618472695e+02
7.275961596159615510e+03,2.464625199373352871e+02
7.275964596459645691e+03,2.511770781584756662e+02
7.275967596759675871e+03,2.559165657305912873e+02
7.275970597059706051e+03,2.606802447792653652e+02
7.275973597359736232e+03,2.654673736637747652e+02
7.275976597659766412e+03,2.702772070925942671e+02
7.275979597959795683e+03,2.751089962379177791e+02
7.275982598259825863e+03,2.799619888581462988e+02
7.275985598559856044e+03,2.848354294061750238e+02
7.275988598859886224e+03,2.897285591529090425e+02
7.275991599159916404e+03,2.946406163039104058e+02
7.275994599459945675e+03,2.995708361164913072e+02
7.275997599759975856e+03,3.045184510247657954e+02
7.276000600060006036e+03,3.094826907501985715e+02
7.276003600360036216e+03,3.144627824274792829e+02
7.276006600660066397e+03,3.194579507233736990e+02
7.276009600960095668e+03,3.244674179558668925e+02
7.276012601260125848e+03,3.294904042213810840e+02
7.276015601560156028e+03,3.345261275070507168e+02
7.276018601860186209e+03,3.395738038185257892e+02
7.276021602160216389e+03,3.446326473005541402e+02
7.276024602460245660e+03,3.497018703577452357e+02
7.276027602760275840e+03,3.547806837833799705e+02
7.276030603060306021e+03,3.598682968730194034e+02
7.276033603360336201e+03,3.649639175537865867e+02
7.276036603660366382e+03,3.700667525061308538e+02
7.276039603960395652e+03,3.751760072857699697e+02
7.276042604260425833e+03,3.802908864536090050e+02
7.276045604560456013e+03,3.854105936902454914e+02
7.276048604860486194e+03,3.905343319261816646e+02
7.276051605160516374e+03,3.956613034643244760e+02
7.276054605460545645e+03,4.007907101026620467e+02
7.276057605760575825e+03,4.059217532647327289e+02
7.276060606060606005e+03,4.110536341146166706e+02
7.276063606360636186e+03,4.161855536875311827e+02
7.276066606660666366e+03,4.213167130126761890e+02
7.276069606960695637e+03,4.264463132360530153e+02
7.276072607260725817e+03,4.315735557510669764e+02
7.276075607560755998e+03,4.366976423134898937e+02
7.276078607860786178e+03,4.418177751720219248e+02
7.276081608160816359e+03,4.469331571908904834e+02
7.276084608460845629e+03,4.520429919724230103e+02
7.276087608760875810e+03,4.571464839872087964e+02
7.276090609060905990e+03,4.622428386886758176e+02
7.276093609360936171e+03,4.673312626430017644e+02
7.276096609660966351e+03,4.724109636510518158e+02
7.276099609960996531e+03,4.774811508717537549e+02
7.276102610261025802e+03,4.825410349436730826e+02
7.276105610561055983e+03,4.875898281140217705e+02
7.276108610861086163e+03,4.926267443521161908e+02
7.276111611161116343e+03,4.976509994778969030e+02
7.276114611461146524e+03,5.026618112824637024e+02
7.276117611761175795e+03,5.076583996483547025e+02
7.276120612061205975e+03,5.126399866770332210e+02
7.276123612361236155e+03,5.176057968009259866e+02
7.276126612661266336e+03,5.225550569102440477e+02
7.276129612961296516e+03,5.274869964717906896e+02
7.276132613261325787e+03,5.324008476474759846e+02
7.276135613561355967e+03,5.372958454197918172e+02
7.276138613861386148e+03,5.421712277019707926e+02
7.276141614161416328e+03,5.470262354626054275e+02
7.276144614461446508e+03,5.518601128423375712e+02
7.276147614761475779e+03,5.566721072700652257e+02
7.276150615061505960e+03,5.614614695859431777e+02
7.276153615361536140e+03,5.662274541492529352e+02
7.276156615661566320e+03,5.709693189603395922e+02
7.276159615961596501e+03,5.756863257746796307e+02
7.276162616261625772e+03,5.803777402163873376e+02
7.276165616561655952e+03,5.850428318982088740e+02
7.276168616861686132e+03,5.896808745267437644e+02
7.276171617161716313e+03,5.942911460211738586e+02
7.276174617461746493e+03,5.988729286242731860e+02
7.276177617761775764e+03,6.034255090127883250e+02
7.276180618061805944e+03,6.079481784139857155e+02
7.276183618361836125e+03,6.124402327077326618e+02
7.276186618661866305e+03,6.169009725416303809e+02
7.276189618961896485e+03,6.213297034385196866e+02
7.276192619261925756e+03,6.257257359032910244e+02
7.276195619561955937e+03,6.300883855355104970e+02
7.276198619861986117e+03,6.344169731280164797e+02
7.276201620162016297e+03,6.387108247779852945e+02
7.276204620462046478e+03,6.429692719905024205e+02
7.276207620762076658e+03,6.471916517826474546e+02
7.276210621062105929e+03,6.513773067854592682e+02
7.276213621362136109e+03,6.555255853513306192e+02
7.276216621662166290e+03,6.596358416478433355e+02
7.276219621962196470e+03,6.637074357634081707e+02
7.276222622262226650e+03,6.677397338056266562e+02
7.276225622562255921e+03,6.717321079987623307e+02
7.276228622862286102e+03,6.756839367863108237e+02
7.276231623162316282e+03,6.795946049204987958e+02
