Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.914000176047928107e+03,6.937709509927726970e+01
9.914000194151591131e+03,6.937687298526189750e+01
9.914000212255252336e+03,6.937665086632813427e+01
9.914000230358915360e+03,6.937642874243130109e+01
9.914000248462576565e+03,6.937620661361611951e+01
9.914000266566239588e+03,6.937598447983793903e+01
9.914000284669902612e+03,6.937576234111918438e+01
9.914000302773563817e+03,6.937554019748210976e+01
9.914000320877226841e+03,6.937531804888222098e+01
9.914000338980888046e+03,6.937509589536409749e+01
9.914000357084551069e+03,6.937487373688320247e+01
9.914000375188212274e+03,6.937465157348415801e+01
9.914000393291875298e+03,6.937442940512241307e+01
9.914000411395536503e+03,6.937420723184257554e+01
9.914000429499199527e+03,6.937398505360008016e+01
9.914000447602862550e+03,6.937376287041726641e+01
9.914000465706523755e+03,6.937354068231650217e+01
9.914000483810186779e+03,6.937331848925319377e+01
9.914000501913847984e+03,6.937309629127196331e+01
9.914000520017511008e+03,6.937287408832825975e+01
9.914000538121172212e+03,6.937265188046671938e+01
9.914000556224835236e+03,6.937242966764274854e+01
9.914000574328496441e+03,6.937220744990104038e+01
9.914000592432159465e+03,6.937198522719695859e+01
9.914000610535822489e+03,6.937176299955287107e+01
9.914000628639483693e+03,6.937154076699113148e+01
9.914000646743146717e+03,6.937131852946711774e+01
9.914000664846807922e+03,6.937109628702555142e+01
9.914000682950470946e+03,6.937087403962178200e+01
9.914000701054132151e+03,6.937065178730051684e+01
9.914000719157795174e+03,6.937042953001709122e+01
9.914000737261456379e+03,6.937020726781624091e+01
9.914000755365119403e+03,6.936998500065331541e+01
9.914000773468782427e+03,6.936976272855068260e+01
9.914000791572443632e+03,6.936954045153072457e+01
9.914000809676106655e+03,6.936931816954880503e+01
9.914000827779767860e+03,6.936909588264961712e+01
9.914000845883430884e+03,6.936887359078852455e+01
9.914000863987092089e+03,6.936865129401024888e+01
9.914000882090755113e+03,6.936842899227013959e+01
9.914000900194416317e+03,6.936820668561288983e+01
9.914000918298079341e+03,6.936798437399390593e+01
9.914000936401742365e+03,6.936776205743547052e+01
9.914000954505403570e+03,6.936753973596006517e+01
9.914000972609066594e+03,6.936731740952295411e+01
9.914000990712727798e+03,6.936709507816890152e+01
9.914001008816390822e+03,6.936687274185324270e+01
9.914001026920052027e+03,6.936665040062071341e+01
9.914001045023715051e+03,6.936642805442664894e+01
9.914001063127378075e+03,6.936620570329344559e+01
9.914001081231039279e+03,6.936598334724340020e+01
9.914001099334702303e+03,6.936576098623197595e+01
9.914001117438363508e+03,6.936553862030382334e+01
9.914001135542026532e+03,6.936531624941430607e+01
9.914001153645687737e+03,6.936509387360814571e+01
