Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.880046622339446913e+03,4.227667574125746910e+02
9.880046640899174236e+03,4.227706887797042441e+02
9.880046659458899740e+03,4.227746196746040255e+02
9.880046678018627063e+03,4.227785500980353959e+02
9.880046696578352567e+03,4.227824800492189752e+02
9.880046715138079890e+03,4.227864095289158399e+02
9.880046733697805394e+03,4.227903385363466668e+02
9.880046752257532717e+03,4.227942670722726461e+02
9.880046770817258221e+03,4.227981951359143409e+02
9.880046789376985544e+03,4.228021227280327707e+02
9.880046807936711048e+03,4.228060498478491240e+02
9.880046826496436552e+03,4.228099764957389084e+02
9.880046845056163875e+03,4.228139026720779725e+02
9.880046863615889379e+03,4.228178283760875615e+02
9.880046882175616702e+03,4.228217536085281836e+02
9.880046900735342206e+03,4.228256783686211975e+02
9.880046919295069529e+03,4.228296026571269408e+02
9.880046937854795033e+03,4.228335264732668861e+02
9.880046956414522356e+03,4.228374498178013710e+02
9.880046974974247860e+03,4.228413726899520952e+02
9.880046993533975183e+03,4.228452950904789418e+02
9.880047012093700687e+03,4.228492170186038379e+02
9.880047030653428010e+03,4.228531384750865527e+02
9.880047049213153514e+03,4.228570594591492977e+02
9.880047067772879018e+03,4.228609799711674100e+02
9.880047086332606341e+03,4.228649000115159424e+02
9.880047104892331845e+03,4.228688195794175044e+02
9.880047123452059168e+03,4.228727386756310693e+02
9.880047142011784672e+03,4.228766572993795307e+02
9.880047160571511995e+03,4.228805754514217483e+02
9.880047179131237499e+03,4.228844931309807862e+02
9.880047197690964822e+03,4.228884103388155040e+02
9.880047216250690326e+03,4.228923270741488523e+02
9.880047234810417649e+03,4.228962433377395200e+02
9.880047253370143153e+03,4.229001591288108557e+02
9.880047271929870476e+03,4.229040744481212641e+02
9.880047290489595980e+03,4.229079892948942074e+02
9.880047309049321484e+03,4.229119036695044542e+02
9.880047327609048807e+03,4.229158175723263184e+02
9.880047346168774311e+03,4.229197310025837737e+02
9.880047364728501634e+03,4.229236439610346565e+02
9.880047383288227138e+03,4.229275564469029405e+02
9.880047401847954461e+03,4.229314684609465758e+02
9.880047420407679965e+03,4.229353800023895360e+02
9.880047438967407288e+03,4.229392910719893734e+02
9.880047457527132792e+03,4.229432016689705165e+02
9.880047476086860115e+03,4.229471117940906879e+02
9.880047494646585619e+03,4.229510214465739182e+02
9.880047513206312942e+03,4.229549306271778164e+02
9.880047531766038446e+03,4.229588393351269815e+02
9.880047550325763950e+03,4.229627475707954432e+02
9.880047568885491273e+03,4.229666553345571742e+02
9.880047587445216777e+03,4.229705626256370579e+02
9.880047606004944100e+03,4.229744694447919073e+02
9.880047624564669604e+03,4.229783757912470605e+02
9.880047643124396927e+03,4.229822816657589897e+02
9.880047661684122431e+03,4.229861870675529758e+02
9.880047680243849754e+03,4.229900919973856617e+02
9.880047698803575258e+03,4.229939964544825557e+02
9.880047717363302581e+03,4.229979004395997322e+02
9.880047735923028085e+03,4.230018039519630406e+02
9.880047754482755408e+03,4.230057069923286122e+02
9.880047773042480912e+03,4.230096095599222963e+02
9.880047791602206416e+03,4.230135116551175543e+02
9.880047810161933739e+03,4.230174132782878473e+02
9.880047828721659243e+03,4.230213144286591955e+02
9.880047847281386566e+03,4.230252151069872184e+02
9.880047865841112070e+03,4.230291153124983907e+02
9.880047884400839393e+03,4.230330150459481615e+02
9.880047902960564898e+03,4.230369143065630624e+02
9.880047921520292221e+03,4.230408130950983150e+02
9.880047940080017725e+03,4.230447114107807352e+02
9.880047958639745048e+03,4.230486092543653740e+02
9.880047977199470552e+03,4.230525066250791042e+02
9.880047995759197875e+03,4.230564035236769769e+02
9.880048014318923379e+03,4.230602999493859784e+02
9.880048032878648883e+03,4.230641959025790584e+02
9.880048051438376206e+03,4.230680913836289392e+02
9.880048069998101710e+03,4.230719863917631756e+02
9.880048088557829033e+03,4.230758809277358523e+02
9.880048107117554537e+03,4.230797749907749221e+02
9.880048125677281860e+03,4.230836685816344129e+02
9.880048144237007364e+03,4.230875616995421638e+02
9.880048162796734687e+03,4.230914543452523731e+02
9.880048181356460191e+03,4.230953465179928799e+02
9.880048199916187514e+03,4.230992382185175416e+02
9.880048218475913018e+03,4.231031294460545951e+02
9.880048237035640341e+03,4.231070202013577273e+02
9.880048255595365845e+03,4.231109104836552319e+02
9.880048274155091349e+03,4.231148002933195471e+02
9.880048292714818672e+03,4.231186896307227130e+02
9.880048311274544176e+03,4.231225784950934212e+02
9.880048329834271499e+03,4.231264668871847903e+02
9.880048348393997003e+03,4.231303548062256823e+02
9.880048366953724326e+03,4.231342422529693863e+02
9.880048385513449830e+03,4.231381292266445371e+02
9.880048404073177153e+03,4.231420157280043668e+02
9.880048422632902657e+03,4.231459017562777376e+02
9.880048441192629980e+03,4.231497873122175406e+02
9.880048459752355484e+03,4.231536723950530359e+02
9.880048478312082807e+03,4.231575570055368871e+02
9.880048496871808311e+03,4.231614411428986386e+02
9.880048515431533815e+03,4.231653248075099327e+02
9.880048533991261138e+03,4.231692079997422979e+02
9.880048552550986642e+03,4.231730907188256765e+02
9.880048571110713965e+03,4.231769729655120500e+02
9.880048589670439469e+03,4.231808547390314743e+02
9.880048608230166792e+03,4.231847360401359310e+02
9.880048626789892296e+03,4.231886168680554761e+02
9.880048645349619619e+03,4.231924972235418068e+02
9.880048663909345123e+03,4.231963771058254338e+02
9.880048682469072446e+03,4.232002565156577703e+02
9.880048701028797950e+03,4.232041354522695542e+02
9.880048719588525273e+03,4.232080139164119714e+02
9.880048738148250777e+03,4.232118919073157599e+02
9.880048756707976281e+03,4.232157694253523346e+02
9.880048775267703604e+03,4.232196464708923145e+02
9.880048793827429108e+03,4.232235230431669493e+02
9.880048812387156431e+03,4.232273991429270836e+02
9.880048830946881935e+03,4.232312747694039103e+02
9.880048849506609258e+03,4.232351499233482741e+02
9.880048868066334762e+03,4.232390246039914246e+02
9.880048886626062085e+03,4.232428988120839222e+02
9.880048905185787589e+03,4.232467725468574145e+02
9.880048923745514912e+03,4.232506458090622914e+02
9.880048942305240416e+03,4.232545185979302573e+02
9.880048960864967739e+03,4.232583909142114180e+02
9.880048979424693243e+03,4.232622627571379326e+02
9.880048997984418747e+03,4.232661341270800790e+02
9.880049016544146070e+03,4.232700050244085332e+02
9.880049035103871574e+03,4.232738754483555113e+02
9.880049053663598897e+03,4.232777453996704367e+02
9.880049072223324401e+03,4.232816148775862644e+02
9.880049090783051724e+03,4.232854838828519632e+02
9.880049109342777228e+03,4.232893524147004882e+02
9.880049127902504551e+03,4.232932204738810924e+02
