Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880043578544327829e+03,3.659049680391487147e+00
9.880043597104053333e+03,3.659090953924959422e+00
9.880043615663780656e+03,3.659132227624616984e+00
9.880043634223506160e+03,3.659173501482368085e+00
9.880043652783233483e+03,3.659214775506298256e+00
9.880043671342958987e+03,3.659256049688321077e+00
9.880043689902686310e+03,3.659297324036518972e+00
9.880043708462411814e+03,3.659338598542802412e+00
9.880043727022137318e+03,3.659379873211216605e+00
9.880043745581864641e+03,3.659421148045802763e+00
9.880043764141590145e+03,3.659462423038471357e+00
9.880043782701317468e+03,3.659503698197310140e+00
9.880043801261042972e+03,3.659544973514225585e+00
9.880043819820770295e+03,3.659586248997308999e+00
9.880043838380495799e+03,3.659627524638465523e+00
9.880043856940223122e+03,3.659668800445786907e+00
9.880043875499948626e+03,3.659710076411179625e+00
9.880043894059675949e+03,3.659751352542732761e+00
9.880043912619401453e+03,3.659792628832356343e+00
9.880043931179128776e+03,3.659833905288134126e+00
9.880043949738854280e+03,3.659875181901977470e+00
9.880043968298579784e+03,3.659916458677930695e+00
9.880043986858307107e+03,3.659957735620035457e+00
9.880044005418032611e+03,3.659999012720201339e+00
9.880044023977759934e+03,3.660040289986516981e+00
9.880044042537485439e+03,3.660081567410888415e+00
9.880044061097212762e+03,3.660122845001407832e+00
9.880044079656938266e+03,3.660164122749978599e+00
9.880044098216665589e+03,3.660205400664692910e+00
9.880044116776391093e+03,3.660246678737459014e+00
9.880044135336118416e+03,3.660287956976366885e+00
9.880044153895843920e+03,3.660329235373318557e+00
9.880044172455571243e+03,3.660370513936409775e+00
9.880044191015296747e+03,3.660411792657542573e+00
9.880044209575022251e+03,3.660453071540764824e+00
9.880044228134749574e+03,3.660494350590119073e+00
9.880044246694475078e+03,3.660535629797513124e+00
9.880044265254202401e+03,3.660576909171036508e+00
9.880044283813927905e+03,3.660618188702593923e+00
9.880044302373655228e+03,3.660659468400278005e+00
9.880044320933380732e+03,3.660700748255996118e+00
9.880044339493108055e+03,3.660742028277835125e+00
9.880044358052833559e+03,3.660783308457705498e+00
9.880044376612560882e+03,3.660824588803694990e+00
9.880044395172286386e+03,3.660865869307709630e+00
9.880044413732013709e+03,3.660907149977842057e+00
9.880044432291739213e+03,3.660948430805996079e+00
9.880044450851464717e+03,3.660989711796219570e+00
9.880044469411192040e+03,3.661030992952552854e+00
9.880044487970917544e+03,3.661072274266905069e+00
9.880044506530644867e+03,3.661113555747367521e+00
9.880044525090370371e+03,3.661154837385842242e+00
9.880044543650097694e+03,3.661196119190422760e+00
9.880044562209823198e+03,3.661237401153015991e+00
9.880044580769550521e+03,3.661278683281710578e+00
9.880044599329276025e+03,3.661319965568415213e+00
9.880044617889003348e+03,3.661361248021218984e+00
9.880044636448728852e+03,3.661402530632026142e+00
9.880044655008456175e+03,3.661443813408931991e+00
9.880044673568181679e+03,3.661485096343837231e+00
9.880044692127907183e+03,3.661526379440790624e+00
9.880044710687634506e+03,3.661567662703834269e+00
9.880044729247360010e+03,3.661608946124876418e+00
9.880044747807087333e+03,3.661650229712005267e+00
9.880044766366812837e+03,3.661691513457129510e+00
9.880044784926540160e+03,3.661732797368337788e+00
9.880044803486265664e+03,3.661774081437537909e+00
9.880044822045992987e+03,3.661815365672818956e+00
9.880044840605718491e+03,3.661856650066088292e+00
9.880044859165445814e+03,3.661897934625435891e+00
9.880044877725171318e+03,3.661939219342766894e+00
9.880044896284898641e+03,3.661980504226173938e+00
9.880044914844624145e+03,3.662021789267562610e+00
9.880044933404349649e+03,3.662063074470977675e+00
9.880044951964076972e+03,3.662104359840462564e+00
9.880044970523802476e+03,3.662145645367924640e+00
9.880044989083529799e+03,3.662186931061453432e+00
9.880045007643255303e+03,3.662228216912955858e+00
9.880045026202982626e+03,3.662269502930521892e+00
9.880045044762708130e+03,3.662310789106058895e+00
9.880045063322435453e+03,3.662352075447656397e+00
9.880045081882160957e+03,3.662393361947221759e+00
9.880045100441888280e+03,3.662434648612844512e+00
9.880045119001613784e+03,3.662475935436429797e+00
9.880045137561341107e+03,3.662517222426070695e+00
9.880045156121066611e+03,3.662558509573671905e+00
9.880045174680792115e+03,3.662599796883279080e+00
9.880045193240519438e+03,3.662641084358936983e+00
9.880045211800244942e+03,3.662682371992548536e+00
