Time (BJD_TBD - 2450000), L_c/L_star (ppm)
1.014865066748561912e+04,3.480258161174033944e+02
1.014865068836039245e+04,3.480354280422083662e+02
1.014865070923516396e+04,3.480450395884861337e+02
1.014865073010993729e+04,3.480546507578835076e+02
1.014865075098471061e+04,3.480642615495348196e+02
1.014865077185948212e+04,3.480738719625744011e+02
1.014865079273425545e+04,3.480834819986489492e+02
1.014865081360902877e+04,3.480930916568928524e+02
1.014865083448380028e+04,3.481027009364406126e+02
1.014865085535857361e+04,3.481123098389386428e+02
1.014865087623334693e+04,3.481219183635215586e+02
1.014865089710811844e+04,3.481315265093238054e+02
1.014865091798289177e+04,3.481411342779916254e+02
1.014865093885766328e+04,3.481507416678227287e+02
1.014865095973243660e+04,3.481603486804629597e+02
1.014865098060720993e+04,3.481699553150470479e+02
1.014865100148198144e+04,3.481795615707098932e+02
1.014865102235675477e+04,3.481891674490971127e+02
1.014865104323152809e+04,3.481987729493438906e+02
1.014865106410629960e+04,3.482083780705848426e+02
1.014865108498107293e+04,3.482179828144658700e+02
1.014865110585584625e+04,3.482275871801217022e+02
1.014865112673061776e+04,3.482371911666872393e+02
1.014865114760539109e+04,3.482467947758081550e+02
1.014865116848016260e+04,3.482563980057827280e+02
1.014865118935493592e+04,3.482660008582561204e+02
1.014865121022970925e+04,3.482756033323638007e+02
1.014865123110448076e+04,3.482852054272403279e+02
1.014865125197925408e+04,3.482948071445314326e+02
1.014865127285402741e+04,3.483044084833719012e+02
1.014865129372879892e+04,3.483140094428970315e+02
1.014865131460357225e+04,3.483236100247521563e+02
1.014865133547834557e+04,3.483332102280722324e+02
1.014865135635311708e+04,3.483428100519927852e+02
1.014865137722789041e+04,3.483524094981582948e+02
1.014865139810266191e+04,3.483620085648681766e+02
1.014865141897743524e+04,3.483716072537666832e+02
1.014865143985220857e+04,3.483812055639896244e+02
1.014865146072698008e+04,3.483908034946721841e+02
1.014865148160175340e+04,3.484004010474591269e+02
1.014865150247652673e+04,3.484099982214858073e+02
1.014865152335129824e+04,3.484195950158878645e+02
1.014865154422607156e+04,3.484291914323098922e+02
1.014865156510084489e+04,3.484387874698870178e+02
1.014865158597561640e+04,3.484483831277552213e+02
1.014865160685038973e+04,3.484579784075586986e+02
1.014865162772516123e+04,3.484675733075969219e+02
1.014865164859993456e+04,3.484771678295140873e+02
1.014865166947470789e+04,3.484867619724458336e+02
1.014865169034947940e+04,3.484963557355281409e+02
1.014865171122425272e+04,3.485059491204046935e+02
1.014865173209902605e+04,3.485155421262113578e+02
1.014865175297379756e+04,3.485251347520844547e+02
1.014865177384857088e+04,3.485347269996671571e+02
1.014865179472334239e+04,3.485443188672599604e+02
1.014865181559811572e+04,3.485539103565062646e+02
1.014865183647288904e+04,3.485635014665420499e+02
1.014865185734766055e+04,3.485730921965035236e+02
1.014865187822243388e+04,3.485826825480339721e+02
1.014865189909720721e+04,3.485922725202696597e+02
1.014865191997197871e+04,3.486018621123466232e+02
1.014865194084675204e+04,3.486114513259080923e+02
1.014865196172152537e+04,3.486210401600903310e+02
1.014865198259629688e+04,3.486306286140296606e+02
1.014865200347107020e+04,3.486402166893691401e+02
1.014865202434584171e+04,3.486498043844094354e+02
1.014865204522061504e+04,3.486593917007934351e+02
1.014865206609538836e+04,3.486689786376576876e+02
1.014865208697015987e+04,3.486785651941385709e+02
1.014865210784493320e+04,3.486881513718786323e+02
1.014865212871970652e+04,3.486977371700145909e+02
1.014865214959447803e+04,3.487073225876829383e+02
1.014865217046925136e+04,3.487169076265259378e+02
1.014865219134402469e+04,3.487264922856805356e+02
1.014865221221879619e+04,3.487360765642833940e+02
1.014865223309356952e+04,3.487456604639764350e+02
1.014865225396834103e+04,3.487552439830615754e+02
1.014865227484311436e+04,3.487648271231808508e+02
1.014865229571788768e+04,3.487744098834709803e+02
1.014865231659265919e+04,3.487839922630688534e+02
1.014865233746743252e+04,3.487935742636165060e+02
1.014865235834220584e+04,3.488031558842506001e+02
1.014865237921697735e+04,3.488127371241083097e+02
1.014865240009175068e+04,3.488223179848312157e+02
1.014865242096652401e+04,3.488318984655564918e+02
1.014865244184129551e+04,3.488414785654210846e+02
1.014865246271606884e+04,3.488510582860666318e+02
1.014865248359084035e+04,3.488606376257952775e+02
1.014865250446561367e+04,3.488702165862486027e+02
1.014865252534038700e+04,3.488797951665635537e+02
1.014865254621515851e+04,3.488893733658777023e+02
1.014865256708993184e+04,3.488989511858320043e+02
1.014865258796470516e+04,3.489085286255638039e+02
1.014865260883947667e+04,3.489181056842103885e+02
1.014865262971425000e+04,3.489276823634129414e+02
1.014865265058902332e+04,3.489372586623085795e+02
1.014865267146379483e+04,3.489468345800349880e+02
1.014865269233856816e+04,3.489564101182329523e+02
1.014865271321333967e+04,3.489659852752054690e+02
1.014865273408811299e+04,3.489755600525931527e+02
1.014865275496288632e+04,3.489851344495335752e+02
1.014865277583765783e+04,3.489947084651644786e+02
1.014865279671243115e+04,3.490042821011264209e+02
1.014865281758720448e+04,3.490138553565567463e+02
1.014865283846197599e+04,3.490234282305933675e+02
1.014865285933674932e+04,3.490330007248766151e+02
1.014865288021152264e+04,3.490425728385441175e+02
1.014865290108629415e+04,3.490521445707337875e+02
1.014865292196106748e+04,3.490617159230855577e+02
1.014865294283583899e+04,3.490712868939036184e+02
1.014865296371061231e+04,3.490808574848276180e+02
1.014865298458538564e+04,3.490904276949954124e+02
1.014865300546015715e+04,3.490999975235453121e+02
1.014865302633493047e+04,3.491095669721169656e+02
1.014865304720970380e+04,3.491191360398481720e+02
1.014865306808447531e+04,3.491287047258773555e+02
1.014865308895924863e+04,3.491382730318438803e+02
1.014865310983402014e+04,3.491478409560521641e+02
1.014865313070879347e+04,3.491574085001417416e+02
1.014865315158356680e+04,3.491669756632507529e+02
1.014865317245833830e+04,3.491765424445173949e+02
1.014865319333311163e+04,3.491861088455809750e+02
1.014865321420788496e+04,3.491956748655796900e+02
1.014865323508265647e+04,3.492052405036521350e+02
1.014865325595742979e+04,3.492148057614372760e+02
1.014865327683220312e+04,3.492243706380733101e+02
1.014865329770697463e+04,3.492339351326990027e+02
1.014865331858174795e+04,3.492434992469530926e+02
1.014865333945651946e+04,3.492530629791405659e+02
1.014865336033129279e+04,3.492626263309003889e+02
1.014865338120606611e+04,3.492721893013709291e+02
1.014865340208083762e+04,3.492817518896910087e+02
1.014865342295561095e+04,3.492913140974989119e+02
1.014865344383038428e+04,3.493008759239335745e+02
1.014865346470515578e+04,3.493104373681335346e+02
1.014865348557992911e+04,3.493199984317374742e+02
1.014865350645470244e+04,3.493295591138836471e+02
1.014865352732947395e+04,3.493391194137113871e+02
1.014865354820424727e+04,3.493486793328585236e+02
1.014865356907901878e+04,3.493582388696310090e+02
1.014865358995379211e+04,3.493677980256669571e+02
1.014865361082856543e+04,3.493773568001051899e+02
1.014865363170333694e+04,3.493869151920848140e+02
1.014865365257811027e+04,3.493964732032434881e+02
1.014865367345288360e+04,3.494060308327204325e+02
1.014865369432765510e+04,3.494155880796546398e+02
1.014865371520242843e+04,3.494251449456838827e+02
1.014865373607720176e+04,3.494347014299471539e+02
1.014865375695197326e+04,3.494442575315838440e+02
1.014865377782674659e+04,3.494538132522312139e+02
1.014865379870151810e+04,3.494633685901960689e+02
1.014865381957629143e+04,3.494729235471154993e+02
1.014865384045106475e+04,3.494824781221287822e+02
1.014865386132583626e+04,3.494920323143755923e+02
1.014865388220060959e+04,3.495015861254927927e+02
1.014865390307538291e+04,3.495111395546199446e+02
1.014865392395015442e+04,3.495206926008964388e+02
1.014865394482492775e+04,3.495302452659594223e+02
1.014865396569970108e+04,3.495397975489480586e+02
1.014865398657447258e+04,3.495493494490021362e+02
1.014865400744924591e+04,3.495589009677584613e+02
1.014865402832401742e+04,3.495684521035241232e+02
1.014865404919879074e+04,3.495780028579360987e+02
1.014865407007356407e+04,3.495875532301335511e+02
1.014865409094833558e+04,3.495971032192567236e+02
1.014865411182310891e+04,3.496066528269417404e+02
1.014865413269788223e+04,3.496162020523285037e+02
1.014865415357265374e+04,3.496257508945568588e+02
1.014865417444742707e+04,3.496352993552630437e+02
1.014865419532219858e+04,3.496448474327548865e+02
1.014865421619697190e+04,3.496543951286683409e+02
1.014865423707174523e+04,3.496639424421435933e+02
1.014865425794651674e+04,3.496734893723207165e+02
1.014865427882129006e+04,3.496830359208353229e+02
1.014865429969606339e+04,3.496925820868274855e+02
1.014865432057083490e+04,3.497021278694376178e+02
1.014865434144560822e+04,3.497116732703012758e+02
1.014865436232038155e+04,3.497212182885585889e+02
1.014865438319515306e+04,3.497307629233498005e+02
1.014865440406992639e+04,3.497403071763105800e+02
