Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.027331913615338999e+04,3.395982002456863142e+02
1.027331922243285044e+04,3.395915676562938188e+02
1.027331930871231270e+04,3.395849353329236351e+02
1.027331939499177315e+04,3.395783032760163564e+02
1.027331948127123542e+04,3.395716714854528391e+02
1.027331956755069587e+04,3.395650399616737900e+02
1.027331965383015813e+04,3.395584087045600086e+02
1.027331974010961858e+04,3.395517777145521450e+02
1.027331982638908084e+04,3.395451469915313396e+02
1.027331991266854129e+04,3.395385165359376742e+02
1.027331999894800356e+04,3.395318863476524598e+02
1.027332008522746401e+04,3.395252564271158917e+02
1.027332017150692627e+04,3.395186267742092241e+02
1.027332025778638672e+04,3.395119973893725387e+02
1.027332034406584717e+04,3.395053682726268107e+02
1.027332043034530943e+04,3.394987394239929586e+02
1.027332051662476988e+04,3.394921108439110640e+02
1.027332060290423215e+04,3.394854825322624379e+02
1.027332068918369259e+04,3.394788544894869915e+02
1.027332077546315486e+04,3.394722267154660358e+02
1.027332086174261531e+04,3.394655992106394820e+02
1.027332094802207757e+04,3.394589719748885841e+02
1.027332103430153802e+04,3.394523450086532534e+02
1.027332112058100029e+04,3.394457183118148009e+02
1.027332120686046073e+04,3.394390918848130809e+02
1.027332129313992118e+04,3.394324657276689550e+02
1.027332137941938345e+04,3.394258398404032278e+02
1.027332146569884389e+04,3.394192142234559242e+02
1.027332155197830616e+04,3.394125888767080141e+02
1.027332163825776661e+04,3.394059638005995794e+02
1.027332172453722887e+04,3.393993389950115898e+02
1.027332181081668932e+04,3.393927144603838997e+02
1.027332189709615159e+04,3.393860901965977064e+02
1.027332198337561204e+04,3.393794662040927506e+02
1.027332206965507430e+04,3.393728424827501726e+02
1.027332215593453475e+04,3.393662190330096564e+02
1.027332224221399701e+04,3.393595958547524560e+02
1.027332232849345746e+04,3.393529729484181985e+02
1.027332241477291791e+04,3.393463503140275748e+02
1.027332250105238018e+04,3.393397279516014464e+02
1.027332258733184062e+04,3.393331058615793836e+02
1.027332267361130289e+04,3.393264840438425836e+02
1.027332275989076334e+04,3.393198624988306165e+02
1.027332284617022560e+04,3.393132412264244522e+02
1.027332293244968605e+04,3.393066202270638883e+02
1.027332301872914832e+04,3.392999995006298377e+02
1.027332310500860876e+04,3.392933790475618707e+02
1.027332319128807103e+04,3.392867588677412414e+02
1.027332327756753148e+04,3.392801389616072356e+02
1.027332336384699192e+04,3.392735193291805444e+02
1.027332345012645419e+04,3.392668999704820294e+02
