Time (BJD_TBD - 2450000), L_h/L_star (ppm)
9.880048682469072446e+03,6.686221920131931284e+00
9.880048701028797950e+03,6.686297187480874094e+00
9.880048719588525273e+03,6.686372455131758485e+00
9.880048738148250777e+03,6.686447723069822935e+00
9.880048756707976281e+03,6.686522991302444652e+00
9.880048775267703604e+03,6.686598259836997293e+00
9.880048793827429108e+03,6.686673528658727328e+00
9.880048812387156431e+03,6.686748797782379405e+00
9.880048830946881935e+03,6.686824067193202659e+00
9.880048849506609258e+03,6.686899336905946178e+00
9.880048868066334762e+03,6.686974606905849328e+00
9.880048886626062085e+03,6.687049877207670079e+00
9.880048905185787589e+03,6.687125147796646019e+00
9.880048923745514912e+03,6.687200418687528902e+00
9.880048942305240416e+03,6.687275689865565198e+00
9.880048960864967739e+03,6.687350961345505773e+00
9.880048979424693243e+03,6.687426233112588214e+00
9.880048997984418747e+03,6.687501505174189731e+00
9.880049016544146070e+03,6.687576777537686645e+00
9.880049035103871574e+03,6.687652050188320096e+00
9.880049053663598897e+03,6.687727323140840063e+00
9.880049072223324401e+03,6.687802596380495679e+00
9.880049090783051724e+03,6.687877869922029817e+00
9.880049109342777228e+03,6.687953143750686280e+00
9.880049127902504551e+03,6.688028417881224819e+00
