Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905201624288427411e+03,7.315490839347507972e+02
9.905201645618108159e+03,7.315719759619209981e+02
9.905201666947787089e+03,7.315948654672483826e+02
9.905201688277466019e+03,7.316177524525045328e+02
9.905201709607144949e+03,7.316406369175103919e+02
9.905201730936823878e+03,7.316635188620851977e+02
9.905201752266504627e+03,7.316863982880003050e+02
9.905201773596183557e+03,7.317092751911733330e+02
9.905201794925862487e+03,7.317321495733752954e+02
9.905201816255541416e+03,7.317550214344265669e+02
9.905201837585220346e+03,7.317778907741470675e+02
9.905201858914901095e+03,7.318007575943067877e+02
9.905201880244580025e+03,7.318236218908255069e+02
9.905201901574258954e+03,7.318464836654738974e+02
9.905201922903937884e+03,7.318693429180716521e+02
9.905201944233616814e+03,7.318921996484393730e+02
9.905201965563295744e+03,7.319150538563965256e+02
9.905201986892976493e+03,7.319379055437128727e+02
9.905202008222655422e+03,7.319607547063103539e+02
9.905202029552334352e+03,7.319836013459585047e+02
9.905202050882013282e+03,7.320064454624771315e+02
9.905202072211692212e+03,7.320292870556868365e+02
9.905202093541372960e+03,7.320521261273553364e+02
9.905202114871051890e+03,7.320749626734077538e+02
9.905202136200730820e+03,7.320977966956119189e+02
9.905202157530409750e+03,7.321206281937884341e+02
9.905202178860088679e+03,7.321434571677576741e+02
9.905202200189767609e+03,7.321662836173396727e+02
9.905202221519448358e+03,7.321891075443013506e+02
9.905202242849127288e+03,7.322119289445704453e+02
9.905202264178806217e+03,7.322347478199135367e+02
9.905202285508485147e+03,7.322575641701514542e+02
9.905202306838164077e+03,7.322803779951044589e+02
9.905202328167844826e+03,7.323031892965386760e+02
9.905202349497523755e+03,7.323259980703834344e+02
9.905202370827202685e+03,7.323488043184049729e+02
9.905202392156881615e+03,7.323716080404236664e+02
9.905202413486560545e+03,7.323944092362604579e+02
9.905202434816239474e+03,7.324172079057357223e+02
9.905202456145920223e+03,7.324400040506136520e+02
9.905202477475599153e+03,7.324627976668273277e+02
9.905202498805278083e+03,7.324855887561415102e+02
9.905202520134957012e+03,7.325083773183769154e+02
9.905202541464635942e+03,7.325311633533539180e+02
9.905202562794316691e+03,7.325539468628363693e+02
9.905202584123995621e+03,7.325767278427587144e+02
9.905202605453674551e+03,7.325995062948853729e+02
9.905202626783353480e+03,7.326222822190367197e+02
9.905202648113032410e+03,7.326450556150332432e+02
9.905202669442713159e+03,7.326678264846383399e+02
9.905202690772392089e+03,7.326905948237887287e+02
9.905202712102071018e+03,7.327133606342466692e+02
9.905202733431749948e+03,7.327361239158341277e+02
9.905202754761428878e+03,7.327588846683712518e+02
9.905202776091107808e+03,7.327816428916790983e+02
9.905202797420788556e+03,7.328043985875192448e+02
9.905202818750467486e+03,7.328271517518312521e+02
9.905202840080146416e+03,7.328499023863769253e+02
9.905202861409825346e+03,7.328726504909772075e+02
9.905202882739504275e+03,7.328953960654533830e+02
9.905202904069185024e+03,7.329181391115652104e+02
9.905202925398863954e+03,7.329408796252556613e+02
9.905202946728542884e+03,7.329636176082846077e+02
9.905202968058221813e+03,7.329863530604735615e+02
9.905202989387900743e+03,7.330090859816436932e+02
9.905203010717579673e+03,7.330318163716159461e+02
9.905203032047260422e+03,7.330545442321495102e+02
9.905203053376939351e+03,7.330772695591892898e+02
9.905203074706618281e+03,7.330999923544950434e+02
9.905203096036297211e+03,7.331227126178874869e+02
9.905203117365976141e+03,7.331454303491881319e+02
9.905203138695656889e+03,7.331681455501552591e+02
9.905203160025335819e+03,7.331908582167357054e+02
9.905203181355014749e+03,7.332135683506883197e+02
9.905203202684693679e+03,7.332362759518343864e+02
9.905203224014372609e+03,7.332589810199946214e+02
9.905203245344051538e+03,7.332816835549912184e+02
9.905203266673732287e+03,7.333043835585807528e+02
9.905203288003411217e+03,7.333270810267132447e+02
9.905203309333090147e+03,7.333497759611457241e+02
9.905203330662769076e+03,7.333724683617000437e+02
9.905203351992448006e+03,7.333951582281973742e+02
9.905203373322128755e+03,7.334178455623940636e+02
9.905203394651807685e+03,7.334405303602416097e+02
