Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891605066937423544e+03,1.213550566379030471e+01
9.891605089829758072e+03,1.213539585552495659e+01
9.891605112722094418e+03,1.213528604739126138e+01
9.891605135614428946e+03,1.213517623940668777e+01
9.891605158506765292e+03,1.213506643155378306e+01
9.891605181399101639e+03,1.213495662384128870e+01
9.891605204291436166e+03,1.213484681627793016e+01
9.891605227183772513e+03,1.213473700884626183e+01
9.891605250076107041e+03,1.213462720156373820e+01
9.891605272968443387e+03,1.213451739441292432e+01
9.891605295860777915e+03,1.213440758741127290e+01
9.891605318753114261e+03,1.213429778054133479e+01
9.891605341645448789e+03,1.213418797382057512e+01
9.891605364537785135e+03,1.213407816723154298e+01
9.891605387430121482e+03,1.213396836078297980e+01
9.891605410322456009e+03,1.213385855448360751e+01
9.891605433214792356e+03,1.213374874831598760e+01
9.891605456107126884e+03,1.213363894229757101e+01
9.891605478999463230e+03,1.213352913641091568e+01
9.891605501891797758e+03,1.213341933067348499e+01
9.891605524784134104e+03,1.213330952506782445e+01
9.891605547676468632e+03,1.213319971961140098e+01
9.891605570568804978e+03,1.213308991428676187e+01
9.891605593461139506e+03,1.213298010911137403e+01
9.891605616353475853e+03,1.213287030406778833e+01
9.891605639245812199e+03,1.213276049916473909e+01
9.891605662138146727e+03,1.213265069441095001e+01
9.891605685030483073e+03,1.213254088978897904e+01
9.891605707922817601e+03,1.213243108531628955e+01
9.891605730815153947e+03,1.213232128097543061e+01
9.891605753707488475e+03,1.213221147678386735e+01
9.891605776599824821e+03,1.213210167272415063e+01
9.891605799492159349e+03,1.213199186881373137e+01
9.891605822384495696e+03,1.213188206503517996e+01
9.891605845276832042e+03,1.213177226139722009e+01
9.891605868169166570e+03,1.213166245790858078e+01
9.891605891061502916e+03,1.213155265455181819e+01
9.891605913953837444e+03,1.213144285134439393e+01
9.891605936846173790e+03,1.213133304826885706e+01
9.891605959738508318e+03,1.213122324534267449e+01
9.891605982630844665e+03,1.213111344254839707e+01
9.891606005523179192e+03,1.213100363990347574e+01
9.891606028415515539e+03,1.213089383739048621e+01
9.891606051307850066e+03,1.213078403502686164e+01
9.891606074200186413e+03,1.213067423279516532e+01
9.891606097092522759e+03,1.213056443070413160e+01
9.891606119984857287e+03,1.213045462876249481e+01
9.891606142877193633e+03,1.213034482695281113e+01
9.891606165769528161e+03,1.213023502529252617e+01
9.891606188661864508e+03,1.213012522376421209e+01
9.891606211554199035e+03,1.213001542238531627e+01
9.891606234446535382e+03,1.212990562113839665e+01
9.891606257338869909e+03,1.212979582004090773e+01
9.891606280231206256e+03,1.212968601907540744e+01
9.891606303123542602e+03,1.212957621825062482e+01
9.891606326015877130e+03,1.212946641757529775e+01
9.891606348908213477e+03,1.212935661703198242e+01
9.891606371800548004e+03,1.212924681663812265e+01
9.891606394692884351e+03,1.212913701637629416e+01
9.891606417585218878e+03,1.212902721626393898e+01
9.891606440477555225e+03,1.212891741628362219e+01
9.891606463369889752e+03,1.212880761645279293e+01
9.891606486262226099e+03,1.212869781675400560e+01
9.891606509154562445e+03,1.212858801719599811e+01
9.891606532046896973e+03,1.212847821778750301e+01
9.891606554939233320e+03,1.212836841851107827e+01
9.891606577831567847e+03,1.212825861938417482e+01
9.891606600723904194e+03,1.212814882038935238e+01
9.891606623616238721e+03,1.212803902154406188e+01
9.891606646508575068e+03,1.212792922283086128e+01
9.891606669400909595e+03,1.212781942426721216e+01
9.891606692293245942e+03,1.212770962583566536e+01
9.891606715185580470e+03,1.212759982755368249e+01
9.891606738077916816e+03,1.212749002940381438e+01
9.891606760970253163e+03,1.212738023139480248e+01
9.891606783862587690e+03,1.212727043353537049e+01
9.891606806754924037e+03,1.212716063580807635e+01
9.891606829647258564e+03,1.212705083823036567e+01
9.891606852539594911e+03,1.212694104078481772e+01
9.891606875431929438e+03,1.212683124348887276e+01
9.891606898324265785e+03,1.212672144632508520e+01
9.891606921216600313e+03,1.212661164931092195e+01
9.891606944108936659e+03,1.212650185242893208e+01
9.891606967001273006e+03,1.212639205568785705e+01
9.891606989893607533e+03,1.212628225909641522e+01
9.891607012785943880e+03,1.212617246263717341e+01
