Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.063803155961407720e+04,3.585980394239408753e+01
1.063803158144959525e+04,3.586109796656801763e+01
1.063803160328511149e+04,3.586239200490986434e+01
1.063803162512062772e+04,3.586368605752672067e+01
1.063803164695614578e+04,3.586498012452575068e+01
1.063803166879166201e+04,3.586627420569074332e+01
1.063803169062717825e+04,3.586756830112877026e+01
1.063803171246269631e+04,3.586886241094702399e+01
1.063803173429821254e+04,3.587015653492923661e+01
1.063803175613372878e+04,3.587145067318255798e+01
1.063803177796924683e+04,3.587274482581414503e+01
1.063803179980476307e+04,3.587403899260768725e+01
1.063803182164027930e+04,3.587533317367039842e+01
1.063803184347579736e+04,3.587662736910940708e+01
1.063803186531131360e+04,3.587792157870842402e+01
1.063803188714683165e+04,3.587921580268244526e+01
1.063803190898234789e+04,3.588051004081517448e+01
1.063803193081786412e+04,3.588180429321376153e+01
1.063803195265338218e+04,3.588309855998537046e+01
1.063803197448889841e+04,3.588439284091373338e+01
1.063803199632441465e+04,3.588568713610599303e+01
1.063803201815993270e+04,3.588698144566932768e+01
1.063803203999544894e+04,3.588827576938743391e+01
1.063803206183096518e+04,3.588957010736746867e+01
1.063803208366648323e+04,3.589086445971663153e+01
1.063803210550199947e+04,3.589215882621856935e+01
1.063803212733751570e+04,3.589345320698051012e+01
1.063803214917303376e+04,3.589474760210957527e+01
1.063803217100854999e+04,3.589604201138948980e+01
1.063803219284406623e+04,3.589733643492742488e+01
1.063803221467958429e+04,3.589863087283051613e+01
1.063803223651510052e+04,3.589992532488249566e+01
1.063803225835061858e+04,3.590121979129833818e+01
1.063803228018613481e+04,3.590251427186175448e+01
1.063803230202165105e+04,3.590380876667990862e+01
1.063803232385716910e+04,3.590510327585996464e+01
1.063803234569268534e+04,3.590639779918561203e+01
1.063803236752820158e+04,3.590769233676403616e+01
1.063803238936371963e+04,3.590898688870240818e+01
1.063803241119923587e+04,3.591028145478439626e+01
1.063803243303475210e+04,3.591157603511719287e+01
1.063803245487027016e+04,3.591287062980799760e+01
1.063803247670578639e+04,3.591416523864043597e+01
1.063803249854130263e+04,3.591545986172171467e+01
1.063803252037682068e+04,3.591675449915903329e+01
1.063803254221233692e+04,3.591804915073602444e+01
1.063803256404785498e+04,3.591934381666774811e+01
1.063803258588337121e+04,3.592063849673785114e+01
1.063803260771888745e+04,3.592193319105351179e+01
1.063803262955440550e+04,3.592322789972192965e+01
1.063803265138992174e+04,3.592452262252675155e+01
1.063803267322543797e+04,3.592581735957517708e+01
1.063803269506095603e+04,3.592711211097441293e+01
1.063803271689647227e+04,3.592840687650806331e+01
1.063803273873198850e+04,3.592970165628335621e+01
1.063803276056750656e+04,3.593099645040749124e+01
1.063803278240302279e+04,3.593229125866408680e+01
1.063803280423853903e+04,3.593358608116035668e+01
1.063803282607405708e+04,3.593488091800351469e+01
1.063803284790957332e+04,3.593617576897716503e+01
1.063803286974509138e+04,3.593747063429636768e+01
1.063803289158060761e+04,3.593876551374476236e+01
1.063803291341612385e+04,3.594006040742955577e+01
1.063803293525164190e+04,3.594135531545794748e+01
1.063803295708715814e+04,3.594265023761356304e+01
1.063803297892267437e+04,3.594394517400363043e+01
1.063803300075819243e+04,3.594524012473530661e+01
1.063803302259370867e+04,3.594653508959223132e+01
1.063803304442922490e+04,3.594783006868163966e+01
1.063803306626474296e+04,3.594912506211072412e+01
1.063803308810025919e+04,3.595042006966307468e+01
1.063803310993577543e+04,3.595171509144594069e+01
1.063803313177129348e+04,3.595301012756651460e+01
1.063803315360680972e+04,3.595430517780841484e+01
1.063803317544232777e+04,3.595560024238670138e+01
1.063803319727784401e+04,3.595689532108501396e+01
1.063803321911336025e+04,3.595819041401053084e+01
1.063803324094887830e+04,3.595948552127050135e+01
1.063803326278439454e+04,3.596078064264850127e+01
1.063803328461991077e+04,3.596207577825174440e+01
1.063803330645542883e+04,3.596337092818749426e+01
1.063803332829094506e+04,3.596466609223928401e+01
1.063803335012646130e+04,3.596596127051437719e+01
1.063803337196197936e+04,3.596725646311999469e+01
1.063803339379749559e+04,3.596855166983969809e+01
1.063803341563301183e+04,3.596984689078072961e+01
1.063803343746852988e+04,3.597114212605032435e+01
1.063803345930404612e+04,3.597243737543202968e+01
1.063803348113956417e+04,3.597373263914099795e+01
1.063803350297508041e+04,3.597502791696077651e+01
1.063803352481059665e+04,3.597632320899860048e+01
1.063803354664611470e+04,3.597761851536171207e+01
1.063803356848163094e+04,3.597891383583367286e+01
1.063803359031714717e+04,3.598020917052170375e+01
1.063803361215266523e+04,3.598150451953307538e+01
1.063803363398818146e+04,3.598279988265129248e+01
1.063803365582369770e+04,3.598409525998365410e+01
1.063803367765921575e+04,3.598539065163737405e+01
1.063803369949473199e+04,3.598668605739598547e+01
1.063803372133024823e+04,3.598798147736675901e+01
1.063803374316576628e+04,3.598927691165691556e+01
1.063803376500128252e+04,3.599057236005001670e+01
1.063803378683680057e+04,3.599186782276120766e+01
1.063803380867231681e+04,3.599316329957401450e+01
1.063803383050783304e+04,3.599445879059572206e+01
1.063803385234335110e+04,3.599575429593352993e+01
1.063803387417886734e+04,3.599704981537097126e+01
1.063803389601438357e+04,3.599834534901536642e+01
1.063803391784990163e+04,3.599964089697390079e+01
1.063803393968541786e+04,3.600093645903011463e+01
1.063803396152093410e+04,3.600223203529127147e+01
1.063803398335645215e+04,3.600352762586462774e+01
1.063803400519196839e+04,3.600482323053369527e+01
1.063803402702748463e+04,3.600611884940573049e+01
1.063803404886300268e+04,3.600741448258803246e+01
1.063803407069851892e+04,3.600871012986404907e+01
1.063803409253403697e+04,3.601000579144900371e+01
1.063803411436955321e+04,3.601130146712640823e+01
1.063803413620506944e+04,3.601259715700347641e+01
1.063803415804058750e+04,3.601389286118753574e+01
1.063803417987610374e+04,3.601518857946202701e+01
1.063803420171161997e+04,3.601648431193427058e+01
1.063803422354713803e+04,3.601778005871152288e+01
1.063803424538265426e+04,3.601907581957723892e+01
1.063803426721817050e+04,3.602037159463873195e+01
1.063803428905368855e+04,3.602166738400327262e+01
1.063803431088920479e+04,3.602296318745431591e+01
1.063803433272472103e+04,3.602425900509915380e+01
1.063803435456023908e+04,3.602555483704509243e+01
1.063803437639575532e+04,3.602685068307557259e+01
1.063803439823127337e+04,3.602814654340581768e+01
1.063803442006678961e+04,3.602944241781928980e+01
1.063803444190230584e+04,3.603073830642328090e+01
1.063803446373782390e+04,3.603203420932508294e+01
1.063803448557334013e+04,3.603333012630813670e+01
1.063803450740885637e+04,3.603462605747975545e+01
1.063803452924437443e+04,3.603592200294721692e+01
1.063803455107989066e+04,3.603721796249395481e+01
1.063803457291540690e+04,3.603851393622730370e+01
1.063803459475092495e+04,3.603980992425452001e+01
1.063803461658644119e+04,3.604110592635905164e+01
1.063803463842195742e+04,3.604240194264821184e+01
1.063803466025747548e+04,3.604369797322927838e+01
1.063803468209299172e+04,3.604499401788569912e+01
1.063803470392850977e+04,3.604629007683272590e+01
1.063803472576402601e+04,3.604758614985378529e+01
1.063803474759954224e+04,3.604888223705620476e+01
1.063803476943506030e+04,3.605017833854724785e+01
1.063803479127057653e+04,3.605147445411036955e+01
1.063803481310609277e+04,3.605277058385284761e+01
1.063803483494161082e+04,3.605406672788201661e+01
1.063803485677712706e+04,3.605536288598127470e+01
1.063803487861264330e+04,3.605665905825794226e+01
1.063803490044816135e+04,3.605795524481934677e+01
1.063803492228367759e+04,3.605925144544883665e+01
1.063803494411919382e+04,3.606054766025377489e+01
1.063803496595471188e+04,3.606184388934148188e+01
1.063803498779022812e+04,3.606314013249532024e+01
1.063803500962574617e+04,3.606443638993062706e+01
1.063803503146126241e+04,3.606573266143075784e+01
1.063803505329677864e+04,3.606702894710305429e+01
1.063803507513229670e+04,3.606832524705482257e+01
1.063803509696781293e+04,3.606962156106946793e+01
1.063803511880332917e+04,3.607091788925430365e+01
1.063803514063884722e+04,3.607221423171665009e+01
1.063803516247436346e+04,3.607351058823988410e+01
1.063803518430987970e+04,3.607480695893134737e+01
1.063803520614539775e+04,3.607610334389838158e+01
1.063803522798091399e+04,3.607739974292430674e+01
1.063803524981643022e+04,3.607869615611650715e+01
1.063803527165194828e+04,3.607999258358231032e+01
1.063803529348746451e+04,3.608128902510505043e+01
1.063803531532298257e+04,3.608258548090006457e+01
1.063803533715849881e+04,3.608388195075072957e+01
1.063803535899401504e+04,3.608517843476438003e+01
1.063803538082953310e+04,3.608647493304833631e+01
1.063803540266504933e+04,3.608777144538593262e+01
1.063803542450056557e+04,3.608906797188458171e+01
1.063803544633608362e+04,3.609036451265155421e+01
1.063803546817159986e+04,3.609166106747021985e+01
1.063803549000711610e+04,3.609295763644794874e+01
1.063803551184263415e+04,3.609425421969205416e+01
1.063803553367815039e+04,3.609555081698588452e+01
1.063803555551366662e+04,3.609684742843678151e+01
1.063803557734918468e+04,3.609814405415210103e+01
1.063803559918470091e+04,3.609944069391517019e+01
1.063803562102021897e+04,3.610073734794136158e+01
1.063803564285573520e+04,3.610203401601400230e+01
1.063803566469125144e+04,3.610333069824042695e+01
1.063803568652676950e+04,3.610462739472799854e+01
1.063803570836228573e+04,3.610592410526003704e+01
1.063803573019780197e+04,3.610722082994389837e+01
1.063803575203332002e+04,3.610851756888694553e+01
1.063803577386883626e+04,3.610981432187248430e+01
1.063803579570435249e+04,3.611111108900786348e+01
1.063803581753987055e+04,3.611240787040049582e+01
1.063803583937538679e+04,3.611370466583361605e+01
1.063803586121090302e+04,3.611500147541465111e+01
1.063803588304642108e+04,3.611629829925094270e+01
1.063803590488193731e+04,3.611759513712576819e+01
1.063803592671745537e+04,3.611889198925455702e+01
1.063803594855297160e+04,3.612018885542056523e+01
1.063803597038848784e+04,3.612148573573118426e+01
1.063803599222400589e+04,3.612278263029378422e+01
1.063803601405952213e+04,3.612407953889165668e+01
1.063803603589503837e+04,3.612537646163216465e+01
1.063803605773055642e+04,3.612667339862269955e+01
1.063803607956607266e+04,3.612797034964649612e+01
1.063803610140158889e+04,3.612926731481098841e+01
1.063803612323710695e+04,3.613056429422353233e+01
1.063803614507262319e+04,3.613186128766737681e+01
1.063803616690813942e+04,3.613315829524994172e+01
1.063803618874365748e+04,3.613445531707858294e+01
1.063803621057917371e+04,3.613575235293659205e+01
1.063803623241469177e+04,3.613704940303934876e+01
1.063803625425020800e+04,3.613834646717015886e+01
1.063803627608572424e+04,3.613964354543639246e+01
1.063803629792124229e+04,3.614094063794541967e+01
1.063803631975675853e+04,3.614223774448050364e+01
1.063803634159227477e+04,3.614353486514907132e+01
1.063803636342779282e+04,3.614483200005845731e+01
1.063803638526330906e+04,3.614612914899194607e+01
1.063803640709882529e+04,3.614742631205690060e+01
1.063803642893434335e+04,3.614872348936074786e+01
1.063803645076985958e+04,3.615002068068670837e+01
1.063803647260537582e+04,3.615131788614218777e+01
1.063803649444089388e+04,3.615261510583459170e+01
1.063803651627641011e+04,3.615391233954711225e+01
1.063803653811192817e+04,3.615520958749525704e+01
1.063803655994744440e+04,3.615650684946223237e+01
1.063803658178296064e+04,3.615780412555544387e+01
1.063803660361847869e+04,3.615910141588228299e+01
1.063803662545399493e+04,3.616039872022598445e+01
1.063803664728951117e+04,3.616169603869393967e+01
1.063803666912502922e+04,3.616299337139358983e+01
1.063803669096054546e+04,3.616429071810811280e+01
1.063803671279606169e+04,3.616558807894491423e+01
1.063803673463157975e+04,3.616688545401145660e+01
1.063803675646709598e+04,3.616818284309088227e+01
1.063803677830261222e+04,3.616948024629063951e+01
1.063803680013813027e+04,3.617077766371814818e+01
1.063803682197364651e+04,3.617207509515660036e+01
1.063803684380916457e+04,3.617337254082147524e+01
1.063803686564468080e+04,3.617467000049597914e+01
1.063803688748019704e+04,3.617596747428751058e+01
1.063803690931571509e+04,3.617726496230353206e+01
1.063803693115123133e+04,3.617856246432718592e+01
1.063803695298674756e+04,3.617985998046592044e+01
1.063803697482226562e+04,3.618115751082717679e+01
1.063803699665778186e+04,3.618245505519406890e+01
1.063803701849329809e+04,3.618375261367409479e+01
1.063803704032881615e+04,3.618505018637465298e+01
1.063803706216433238e+04,3.618634777307890005e+01
1.063803708399984862e+04,3.618764537389430558e+01
1.063803710583536667e+04,3.618894298892825390e+01
1.063803712767088291e+04,3.619024061796395841e+01
1.063803714950640097e+04,3.619153826121690543e+01
1.063803717134191720e+04,3.619283591847027992e+01
1.063803719317743344e+04,3.619413358983150886e+01
1.063803721501295149e+04,3.619543127540802629e+01
1.063803723684846773e+04,3.619672897498298880e+01
1.063803725868398396e+04,3.619802668866383044e+01
1.063803728051950202e+04,3.619932441655799948e+01
1.063803730235501826e+04,3.620062215844863118e+01
1.063803732419053449e+04,3.620191991444318802e+01
1.063803734602605255e+04,3.620321768464911116e+01
1.063803736786156878e+04,3.620451546884950744e+01
1.063803738969708502e+04,3.620581326715186066e+01
1.063803741153260307e+04,3.620711107966361908e+01
1.063803743336811931e+04,3.620840890616788954e+01
1.063803745520363555e+04,3.620970674677212031e+01
1.063803747703915360e+04,3.621100460158380940e+01
1.063803749887466984e+04,3.621230247038602812e+01
1.063803752071018789e+04,3.621360035339436934e+01
1.063803754254570413e+04,3.621489825039194699e+01
1.063803756438122036e+04,3.621619616148620224e+01
1.063803758621673842e+04,3.621749408678464022e+01
1.063803760805225465e+04,3.621879202607029669e+01
1.063803762988777089e+04,3.622008997945069098e+01
1.063803765172328895e+04,3.622138794703328557e+01
1.063803767355880518e+04,3.622268592860115177e+01
1.063803769539432142e+04,3.622398392426176628e+01
1.063803771722983947e+04,3.622528193412261288e+01
1.063803773906535571e+04,3.622657995796676289e+01
1.063803776090087194e+04,3.622787799590170010e+01
1.063803778273639000e+04,3.622917604803487990e+01
1.063803780457190624e+04,3.623047411414940200e+01
1.063803782640742429e+04,3.623177219446088060e+01
